voornaam,achternaam,club
Mandy ,van den Berg,LSK Kvinner FK
Dyanne ,Bito,Telstar
Angela ,Christ,PSV/FC Eindhoven
Anouk ,Dekker,FC Twente
Merel ,van Dongen ,Ajax
Daniëlle ,van de Donk ,PSV/FC Eindhoven
Maran ,van Erp ,PSV/FC Eindhoven
Loes  ,Geurts,Kopparberg/Göteborg FC
Stefanie ,van der Gragt ,Telstar
Petra ,Hogewoning, Ajax
Anouk  ,Hoogendijk,Ajax
Dominique ,Janssen, SGS Essen
Vanity ,Lewerissa, Standard de Liège
Desiree ,van Lunteren ,Ajax
Lieke  ,Martens,Kopparbergs/Göteborg FC
Manon  ,Melis,Kopparbergs/Göteborg FC
Tessel  ,Middag,Ajax
Vivianne  ,Miedema,Bayern München
Jill  ,Roord,FC Twente
Shanice ,van de Sanden ,FC Twente
Sherida  ,Spitse,LSK Kvinner FK
Sari ,van Veenendaal,FC Twente
Kirsten ,van de Ven, FC Rosengård
